page_content,book,page,notes
"This library has a tremendous number of features. It is also, unfortunately, one of the least intuitive libraries that we will make use of in this class. Given how important visualization is, however, it is definitely worth our time to work through some exercises to make sure that we understand it well enough to be able to use it with some facility rather than having to look up the manual pages every single time we want to create a plot. One of the problems that we will solve in the lab is what to do when our subplots begin to become crowded. As this happens, the text on the axes or perhaps in the titling will become unreadable. We look at some easy ways to solve this in addition to some ways that we may choose to customize this to move legends and titles inside of the graph. We will also look at how to go about adjusting the overall size of the graph, change the type of lines that are used in rendering the graphs, how to adjust colors, and several other features. There truly are many different tricks to using this library. Even after the introduction that we cover in our lab today, you will continue to learn about additional features in this library for the next several days. 55",Book 1_2036060.pdf,56,"**Matplotlib Library Notes**
==========================

**Importance of Matplotlib**
* Visualization is crucial, making it essential to understand Matplotlib despite its complexity.

**Challenges with Matplotlib**
* One of the least intuitive libraries in the class
* Requires practice to master its features and avoid constant manual references

**Lab Objectives**
* Solve issues with crowded subplots, including:
	+ Unreadable text on axes and titles
* Customize plots by:
	+ Moving legends and titles inside the graph
	+ Adjusting graph size
	+ Changing line types
	+ Altering colors
* Explore additional features and tricks in the library

**Learning Outcomes**
* Understand and utilize Matplotlib's features with facility
* Master various customization options for effective visualization"
"Exercise: Matplotlib As with all of our labs, this lab does build on the last lab. If you have not yet completed the first lab, you should go back and do this now. This lab will expect that you fully understand and can use all of the language features that were discussed and used in the first lab. This includes using Python features that we practiced in addition to being familiar with the NumPy library features covered in the first lab. When you are ready, please open the next workbook in Jupyter Lab. 56",Book 1_2036060.pdf,57,"Here are the notes on the provided passage in advanced markdown format:

**Matplotlib Lab**
================

**Prerequisites**
---------------

* Completion of the first lab is required
* Understanding of Python language features practiced in the first lab
* Familiarity with NumPy library features covered in the first lab

**Lab Expectations**
------------------

* Builds on the concepts learned in the first lab
* Will use Python features and NumPy library features covered in the first lab

**Next Steps**
-------------

* Open the next workbook in Jupyter Lab"
"SQL Crash Course In this section, we will try to give you a fast and practical introduction to the SQL language and relational databases in general. This language and the technologies that make use of it are very complex. Much like Python, there is no way that in just a few minutes, we can tell you about every feature and option. However, our hope is that coupling the discussion in the slides, the notes, the instructor discussion, and the hands-on exercises that follow, you will gain a solid familiarity with the concepts and techniques. After you complete the labs, you should be able to connect to, interact with, query, and extract results from a SQL database. 57",Book 1_2036060.pdf,58,"Here are the notes on SQL Crash Course in advanced markdown format:

### SQL Crash Course
=====================

#### Introduction
------------

* **SQL** (Structured Query Language) is a complex language used for relational databases.
* This crash course aims to provide a solid familiarity with SQL concepts and techniques.

#### Course Objectives
-------------------

* After completing the course, you should be able to:
	+ Connect to a SQL database
	+ Interact with a SQL database
	+ Query a SQL database
	+ Extract results from a SQL database"
"The SQL language has been around for many years. It represented a revolution that changed how data was stored and structured. Most databases prior to the creation of SQL were based on ISAM, VSAM, or other proprietary database technologies. Both of these technologies still exist today (and are used!), but SQL has dominated this space for decades. Even in cases where ISAM tables are used to store the data, SQL is most frequently the interface that is used to access this data. The SQL language is a DSL1that can be broken into four main pieces. One part, the DDL (Data Definition Language), is used to describe the structure or schema of the database. This includes the creation of the data tables and the various fields, often called columns, that are found within each of those tables. Another, the DML (Data Manipulation Language), is used for making changes to rows within database tables. This includes inserting, updating, deleting, and other operations that cause changes to occur to the data within the fields. The third is the DCL (Data Control Language)2. This is used for defining data access and authorization requirements and restrictions that are applied to databases, tables, rows, or columns. While these three are quite important, we are not particularly interested in them if our only goal is to be able to extract data from the database for data analysis or machine learning purposes. Certainly, if you have the time, we recommend that you spend time learning about the DDL dialect used by database products within your enterprise so that you can well understand the different data types available in those servers. The aspect of SQL that we care a lot about is the DQL(Data Query Language). This is the part of the language that allows us to request data out of the database. This language can be quite complex since we are dealing with relational data. This means that the data in one table can be used to access data from another. We will get into that in just a little while. 1Domain Specific Language 2In the event you choose to research this, you should be aware that there have been several other computer languages that use the abbreviation “DCL.” 58",Book 1_2036060.pdf,59,"Here are the notes on the SQL language:
**What is SQL?**
* A revolution in data storage and structuring that has dominated the space for decades
* A **Domain Specific Language (DSL)** used to interact with databases

**Four Main Pieces of SQL**
* **DDL (Data Definition Language)**
	+ Used to describe the structure or schema of the database
	+ Creates data tables and defines fields (columns) within tables
* **DML (Data Manipulation Language)**
	+ Used for making changes to rows within database tables
	+ Includes inserting, updating, deleting, and other operations that cause changes to data
* **DCL (Data Control Language)**
	+ Used to define data access and authorization requirements and restrictions
	+ Applied to databases, tables, rows, or columns
* **DQL (Data Query Language)**
	+ Used to request data from the database
	+ Allows for complex queries due to relational data (data in one table used to access data from another)

**Importance of DQL**
* Crucial for extracting data from databases for data analysis or machine learning purposes"
"Even though the language that we use to access the database can be very complex, or at least can be used to create very complex queries, the ideas behind a relational database are not very complicated at all. The mental picture that you can use is that of a set of Excel worksheets. Each sheet has rows and columns, where each row has information about one specific record. The columns within that sheet are used to store facts about each one of those rows or records. What we have so far would be called a table. When we take multiple tables and put them together (think of an Excel workbook) we now have a database. Therefore, a database can be defined as a collection of tables, each of which contains rows made up of columns or fields that contain infor- mation. Even though this is a database, it can’t be described as a relational database yet. For it to be a relational database, we would expect that some of the data in the various tables are related to or connected to rows in other tables. On the right-hand side of our slide, we have a piece of what is known as an entity-relationship diagram, or ERD. These diagrams depict the relationships between the different tables and show the structure of the data within the tables. In this particular diagram, the “Customer Data” database has four different tables within it. These tables each have various pieces of information or fields that are somehow connected to the customer. You can see that there are lines connecting these tables to one another. There are also lines that run off of our diagram that connect these tables with tables in other databases. These lines indicate the relations that exist. For example, if you look at the address table, you will see that there is a field called city_id . This field represents what is called aforeign key from the city table. In other words, when we store an address, we don’t actually store the city related to it. Instead, we only store the city_id of the corresponding city record where this address is located. These relationships can become very complex, and there are both benefits and disadvantages to using SQL databases. 59",Book 1_2036060.pdf,60,"Here are the notes on relational databases in advanced bullet-point format:

**Relational Databases**
========================
### What is a Database?
* A database is a collection of **tables**, each containing **rows** made up of **columns** or **fields** that contain information.

### Understanding Tables
* A table consists of rows and columns, similar to an Excel worksheet.
* Each row represents a specific record, and each column stores facts about that record.

### Relational Database
* A database becomes a **relational database** when tables are connected, with relationships between rows in different tables.

### Entity-Relationship Diagram (ERD)
* An ERD is a diagram that depicts the relationships between tables and shows the structure of the data within the tables.
* ERDs include lines connecting tables to show relationships.

### Fields and Foreign Keys
* A **foreign key** is a field in a table that refers to a record in another table.
* Example: In an address table, the `city_id` field is a foreign key that refers to a record in the city table.

### Benefits and Drawbacks of SQL Databases
* Using SQL databases can have both benefits and drawbacks, including complexity in relationships."
"The Data Query Language The DQL can be very simple and straightforward to use. One of the design goals for the original version of what has become SQL was to create a query language that expressed itself in something close the English. When we look at the most basic queries, this is certainly true. After connecting to the database server, we must tell the server which database we wish to work with. When working interactively, we do this using the use <database> command. Once this has been done, all of the tables within that database can be easily accessed. It is possible to query tables in other databases as well, but this isn’t a common use case for us. Once the database has been selected, we can now request data. To do so, we use the SELECT statement. These days the case of SQL statements is not particularly important, but traditionally the SQL language portions of our statements are capitalized. Many DBAs (database administrators) and programmers prefer this convention since it makes the SQL language portions stand out from the tables, fields, and data. We will not be pedantic about this in our class. The general format of theSELECT statement is: SELECT <* | column[, column, ...]> FROM <table> [WHERE <condition>] Here we have used the standard convention of indicating required arguments using the <>and optional arguments using []. In aSELECT command, we specify which columns we are interested in seeing out of the rows that are selected. If you aren’t sure what the names of the columns or fields are, you can ask for *, which returns all fields for the selected rows. We must also specify which table we are interested in querying with the FROM clause. The WHERE clause is optional; it allows us to limit which rows are returned using some selection criteria. These basic select statements are very straightforward and easy to grasp. Let’s make them slightly 60",Book 1_2036060.pdf,61,"**Data Query Language (DQL)**
=============================

### Design Goals

* Create a query language that is easy to use and close to English
* Simple and straightforward queries

### Connecting to the Database

* Use the `use <database>` command to select the database to work with
* Allows access to all tables within the selected database
* Optional: query tables in other databases

### SELECT Statement

* Format: `SELECT <* | column[, column, ...]> FROM <table> [WHERE <condition>]`
* **Required arguments**: `<*>` or column names, `FROM <table>`
* **Optional arguments**: `WHERE <condition>`
* `*` returns all fields for the selected rows
* `WHERE` clause is optional, used to limit returned rows based on selection criteria

### SQL Conventions

* SQL language portions are typically capitalized (but not enforced in this class)
* Used to distinguish SQL language from tables, fields, and data"
"more complex. One of the strengths of using an RDBMS is the fact that it is a relational database. It is, therefore, very common to link tables together in queries. Here’s a basic example of using a relation: SELECT users.name, orders.number, orders.total FROM orders INNER JOIN users ON users.id=orders.userid This looks far more complicated, but there’s really not much more happening. We are asking to see thename column from the users table in addition to the number andtotal columns from the orders table. Wow! This means that we are extracting columns from two tables at the same time. How does it know which records to show us from the orders table with the data from the users table? Notice the INNER JOIN clause. This expresses that we want to see orders rows for each user where the users.id value is the same as the orders.userid value. 61",Book 1_2036060.pdf,62,"Here are the advanced bullet-point notes summarizing the topic of Relational Database Management Systems (RDBMS) and SQL queries:

**Relational Database Management Systems (RDBMS)**
================================================================================

* A strength of RDBMS is the ability to link tables together in queries
* This is possible due to the relational nature of the database

**Basic SQL Query with INNER JOIN**
-----------------------------------

* Example query: `SELECT users.name, orders.number, orders.total FROM orders INNER JOIN users ON users.id=orders.userid`
* The query extracts columns from **two tables**:
	+ `users` table: `name` column
	+ `orders` table: `number` and `total` columns
* The **INNER JOIN** clause links the two tables based on a common column:
	+ `users.id` = `orders.userid`
* The query returns only the rows from the `orders` table where the `userid` matches the `id` in the `users` table"
"From our perspective as budding data scientists, we are fortunate that we need not overly concern ourselves with the design of the database or tables. This isn’t to say that we never care, however. For example, we might be working on an ETL (Export, Transform, Load) task where we are attempting to query multiple tables in multiple databases simultaneously in order to aggregate and transform that data in an important and useful way for our enterprise. Once that transformation has been done, whether it is a simple aggregation, analysis, or MapReduce style operation, the results might be loaded into some other data store (possibly even a SQL database). In a case such as this, we would need a great deal of knowledge of the structure of the data tables queried. An important mental key to working with SQL is to view the operations as manipulations of sets of data. If we use this mental picture rather than viewing things as rows and columns, the various operations tend to make a bit more sense. The queries themselves can end up looking incredibly complex, but ultimately we are just mixing, matching, and manipulating sets of data. 62",Book 1_2036060.pdf,63,"Here are the advanced bullet-point notes on the topic:

**Database and SQL Basics**
=============================

* **ETL (Export, Transform, Load)**: a process that involves querying multiple tables in multiple databases, aggregating and transforming data for enterprise use.
* **Database design**: not a primary concern for data scientists, but important to understand table structure in certain scenarios (e.g., ETL tasks).

**Working with SQL**
---------------

* **Mental model**: view SQL operations as manipulations of **sets of data**, rather than rows and columns.
* **SQL operations**: involve mixing, matching, and manipulating sets of data.
* **Query complexity**: can appear complex, but can be understood by applying the sets of data mental model."
"Just to give you a concrete example of what a somewhat more complex query might look like, consider the example in the slide. This SQL query is a mixture of Ruby code and SQL. The database is used to store log events from Windows event logs and various system logs from routers, switches, and UNIX systems. One of the criteria for the system design was that it be very responsive when it comes to arbitrary text searches across events. The developers took an interesting approach to solve this problem. When an event is stored, it is first broken into discrete words. The system evaluates each word, checking to see if that word has ever been seen before. If it has, it retrieves the unique ID for that word. If it hasn’t, the word is inserted into the words table, and the ID is captured. Now that all of the IDs are available, the system stores rows into the events_words table, which links the events tables to the words table, storing both the event_id andword_id for every word found in an event. Later, when someone wants to query these tables, the code in the slide is executed. This takes the list of search terms that are passed in by the user, expands them out to create multiple LIKE clauses in a nested SQL query, and then finds all events that have all of those words present. The query itself looks complicated since there are so many pieces happening. Indeed, this could have been accomplished in multiple discrete steps, first retrieving and storing the words, then retrieving the events, then performing the aggregation. While this would be more tractable to read, the perfor- mance would suffer greatly. By writing it as a set of nested queries, the SQL server can do this in a highly optimized way, simply generating intersections of the relative sets and returning final results rather than creating and returning three different sets of results. When working with SQL databases, you will frequently hear the term “Normalized” or “First Nor- mal Form” or some other “Normal Form.” What do these mean? A normal form defines a standard way of representing data that seeks to minimize duplication. How much duplication has been elim- 63",Book 1_2036060.pdf,64,"Here are the notes on the provided passage in advanced bullet-point markdown format:

**Database Query Optimization**
=================================

* **System Design Criteria**: Very responsive to arbitrary text searches across events
* **Event Storage**:
	+ Break down each event into discrete words
	+ Check if each word has been seen before
		- If yes, retrieve unique ID
		- If no, insert into **words table** and capture ID
* **Events-Words Table**:
	+ Links **events table** to **words table**
	+ Stores **event_id** and **word_id** for every word in an event

**Query Execution**
-------------------

* **Search Query**:
	+ Expand search terms into multiple LIKE clauses in a nested SQL query
	+ Find all events with all search terms present
* **Optimization**:
	+ Writing the query as a set of nested queries allows the SQL server to optimize performance
	+ Generates intersections of relative sets and returns final results

**Database Normalization**
-------------------------

* **Normalized** or **First Normal Form**: A standard way to represent data to minimize duplication
* **Goal**: Eliminate duplication in data representation"
"inated and how highly optimized the data storage depends on how far we go with normalization. In common use, you will find first normal form (1NF) and second normal form (2NF) databases. This isn’t to say that they can’t be third or more, but they are definitely more rare to encounter. The entire idea behind normalization is eliminating duplication in the database and speeding access and uniqueness of indices. That’s it. First normal form means that every column in a table contains only a single value (rather than a composite value) and that there is some field within the aggregate rows that is row-wise unique in the table. This unique field serves as an index. Second normal form extends this such that there is no duplication across table joins. In other words, everything in the right side of the join is unique to everything on the left side of the join. This results in faster access since the result sets should be commensurately smaller, or at least more specific to what you are retrieving. There is no value for us in exploring the other normal forms since you are less likely to encounter them and since we are not trying to teach an RDBMS class. Just take away from this that normaliza- tion is about reducing the number of times we store the same data, preferably making data unique. While higher levels of normalization are often better, they are not always better. We are trading off data storage (we need less space to store more highly normalized data) for access time (it will typically take more time to reconstruct data that has been highly normalized). 64",Book 1_2036060.pdf,65,"Here are the notes on database normalization:

**Database Normalization**
==========================

**Purpose**
-----------

* Eliminate duplication in the database
* Speed up access and ensure uniqueness of indices

**First Normal Form (1NF)**
---------------------------

* Each column in a table contains only a **single value** (not composite)
* There is a **unique field** in the table, serving as an index
* Ensures **row-wise uniqueness** in the table

**Second Normal Form (2NF)**
---------------------------

* Extends 1NF to ensure **no duplication** across table joins
* Everything on the right side of the join is **unique** to everything on the left side
* Results in **faster access** and smaller result sets

**Importance of Normalization**
-----------------------------

* Reduces the number of times the same data is stored
* Aims to make data **unique**
* Higher levels of normalization:
	+ Trade-off: **less data storage** for **longer access time**
	+ Not always better, as highly normalized data can be slower to reconstruct"
"SQL Joins There are many types of joins or ways of relating tables to one another. The list in our slide is by no means complete. In fact, you will find that there are different ways of expressing the same join. What some would call a Difference join, others would call an Outer join. Knowing this at the outset is useful. We want to provide you with some fairly standard vocabulary, but don’t get too hung up on the precise names for things since different vendors and different experts may use slightly different terminology. In the context of this class, we will define the joins as follows: Join Meaning Inner Select rows from the table on the “left” (table A), returning the column values from rows in both the left and right tables where the fields in table B are related through a foreign key in A. Left Perform an inner join where possible, but if there are rows in table A with no matches in table B, return the table A rows anyway with the columns from B set to null. Outer Also called a Full Outer Join and sometimes a Union. Return all of the rows in A, whether there are relations in B, all of the rows in A where there are relations in B, and all of the rows in B where there were no relations in A. In other words, return everything . Cross Not all database servers support a cross join. The idea is to return all permutations of the rows in column A with the related rows in table B. Right The opposite of a Left join. Return all of the rows from table B where there are relations in table A. 65",Book 1_2036060.pdf,66,"Here are the notes on SQL Joins in advanced markdown format:

**SQL Joins**
================

### Types of Joins
------------------

* Multiple types of joins exist, and different vendors/experts may use different terminology
* We will define the joins as follows:

### Inner Join
-------------

* **Select** rows from the table on the ""left"" (table A)
* Return column values from rows in both left and right tables where the fields in table B are related through a foreign key in A

### Left Join
------------

* Perform an inner join where possible
* If there are rows in table A with no matches in table B, return the table A rows anyway with the columns from B set to **null**

### Outer Join (Full Outer Join, Union)
-----------------------------

* Return **all** of the rows in A, whether there are relations in B
* Return all of the rows in A where there are relations in B
* Return all of the rows in B where there were no relations in A
* In other words, return **everything**

### Cross Join
-------------

* Not all database servers support a cross join
* Return all **permutations** of the rows in column A with the related rows in table B

### Right Join
-------------

* The opposite of a Left join
* Return all of the rows from table B where there are relations in table A"
Join Meaning Difference Also called an Outer join by some. Return all of the rows in the two tables where there are norelations between them. 66,Book 1_2036060.pdf,67,"Here are the notes on the provided passage:

**Join Types**
===============

### Outer Join
* Also known as a **Full Outer Join**
* Returns all rows from **both tables** where there are **no relations** between them."
"We have attempted to picture the most common joins in the images in the slide. It is often easier to understand what is happening in the joins by visualizing what they mean. As with our definitions of join types on the previous page, do not assume that these are all of the possible joins. There are many more ways that we can mix and match our tables, and there are many other words that you might find an administrator or documentation using to describe a particular join. In our experience, the best way to disambiguate how the data is being retrieved is to force someone to draw a diagram to illustrate it. 67",Book 1_2036060.pdf,68,"Here are the notes on the topic of joins in a concise and easy-to-understand format:

**Understanding Joins**
=====================

* Visualizing joins can help in understanding what is happening in the joins
* The images provided are not exhaustive and only show the most common types of joins
* There are many more ways to mix and match tables and use different words to describe joins
* It is essential to clarify how data is being retrieved
* **Best practice:** Force someone to draw a diagram to illustrate the join to avoid confusion"
"In addition to being able to join or relate data in one or more tables simultaneously, most SQL server implementations support a variety of aggregation and grouping functions. Aggregation means that we are collecting data and summarizing it in some way. Grouping means that we are putting all related records together in one section. The aggregation options largely revolve around simple statistics operations that we might want to perform on our data. This can be very useful when our data has been stored properly, allowing us to perform calculations very rapidly across vast numbers of rows. Unfortunately, sometimes we find that the data is not stored using ideal typing, which might mean that these operations cannot be used. For example, if we’ve stored currency values in a string field with a currency indicator, we cannot easily use the AVG,SUM,MAX,MIN, or other operators on that data. We would first have to transform the data, which is significantly more expensive. The worst case is always to extract the data from the database and then perform our aggregation. Just because it’s the worst-case doesn’t mean that we won’t do it. We will talk about a variety of statistical operations in the following days, many of which are extremely useful but completely unavailable in the SQL language. 68",Book 1_2036060.pdf,69,"Here are the notes on SQL Server Implementations in advanced markdown format:

**SQL Server Implementations**
===========================

### Data Manipulation

* **Joining/Relating Data**: Combine data from one or more tables simultaneously
* **Aggregation**: Collect and summarize data in various ways
* **Grouping**: Put related records together in one section

### Aggregation Options

* **Simple Statistics Operations**:
	+ Perform calculations rapidly across vast numbers of rows
	+ Examples: `AVG`, `SUM`, `MAX`, `MIN`, and other operators
* **Limitations**:
	+ Data must be stored properly to use aggregation options
	+ Incorrect data typing (e.g., storing currency values as strings) may prevent aggregation
	+ Transformation of data may be necessary, which can be expensive

### Statistical Operations

* Will be discussed in future sessions
* Some operations are extremely useful but unavailable in SQL language
* **Worst-Case Scenario**: Extract data from database and perform aggregation outside of SQL"
"We have only scratched the surface when it comes to SQL and the various complexities of writing queries. Since we are only focused on practical applications from a data science perspective, we are solely interested in getting you enough familiarity to be able to run basic queries. With that knowledge, you will be able to extract data from databases on your own. You should also be in a much better position to know what to type in as a set of search terms to your favorite search engine when you need to go further. At a minimum, you should be in a better position to look up the documentation for the specific SQL dialect supported by your enterprise’s SQL server. When interacting with SQL servers, don’t be shy about talking to your DBAs as well. A data scientist has broad knowledge covering programming and data access languages. A DBA has very specific and deep expertise in administering SQL servers and optimizing queries. Leverage the expertise that these people have! We are often surprised at the counterintuitive recommendations a DBA will make regarding our own SQL queries. Their experience has taught them how to take advantage of (or sometimes trick) the optimizer built into the SQL server to result in the most efficient queries. 69",Book 1_2036060.pdf,70,"**SQL Fundamentals for Data Science**
=====================================

**Practical Applications**
-------------------------

* Focus on basic queries for data extraction from databases
* Gain familiarity with SQL to run simple queries
* Develop skills to formulate search terms for further learning

**Interacting with SQL Servers**
-----------------------------

* Leverage expertise of **DBAs** (Database Administrators)
* Seek guidance on optimizing queries and database administration
* DBAs have deep knowledge of SQL server optimization and query performance

**Key Concepts**
----------------

* **DBA** (Database Administrator): specialized expertise in SQL server administration and query optimization
* **SQL Dialect**: specific version of SQL supported by an enterprise's SQL server"
"It’s now time for us to put this into practice. Please switch back into Jupyter Lab and get started on the SQL notebook. In this lab, you will have the opportunity to connect to and run queries against a PostgreSQL server running on the course VM. We have a prepopulated set of data tables there that you will explore, attempt to gather some statistics on, and experiment with running joins of varying degrees of complexity. 70",Book 1_2036060.pdf,71,"Here are the advanced bullet-point notes summarizing the important parts of the passage:

**Lab Instructions**
=====================

* **Switch to Jupyter Lab** to start working on the SQL notebook.
* **Connect to a PostgreSQL server** running on the course VM.
* **Explore prepopulated data tables** and attempt to gather statistics.
* **Experiment with running joins** of varying degrees of complexity.

Let me know if you'd like me to assist with anything else!"
"NoSQL Document Stores As powerful as SQL is, it isn’t always the best way to go. While SQL databases can allow us to deduplicate data reducing in more efficient usage of space and can also allow us to create powerful joins of data across multiple tables or even databases, another approach sacrifices space for even more efficient retrieval performance. This is the general motivation behind the NoSQL paradigm and document stores. 71",Book 1_2036060.pdf,72,"Here are the notes on NoSQL Document Stores in advanced markdown format:

**NoSQL Document Stores**
=========================

**Motivation**
------------

* **Trade-offs between space efficiency and retrieval performance**
* SQL databases:
	+ Allow deduplication of data
	+ Enable powerful joins across multiple tables or databases
* NoSQL paradigm:
	+ Sacrifices space efficiency for faster retrieval performance

**Key Characteristics**
---------------------

* **Document Stores**: a type of NoSQL database
* **Non-relational**: does not use SQL or traditional tables

**Comparison to SQL Databases**
-----------------------------

* **SQL Databases**:
	+ Allow deduplication of data
	+ Enable powerful joins across multiple tables or databases
* **NoSQL Document Stores**:
	+ Sacrifice space efficiency for faster retrieval performance"
"These types of databases come in two main flavors. The first is a document store, of which Mon- goDB is an example. The second is a key-value store, an example of which is CouchDB. All databases in these categories fall into the “NoSQL” class. In a document store, the documents themselves can have any structure we would like. The data within the document store is organized into collections . We can think of a collection as a table in a SQL database. The visibility into the contents of the document within a collection is one of the real strengths of a document store. Another strength in this type of database is when we retrieve a document, all of the data associated with the document comes along. While this can lead to significant data duplication and greater disk utilization, it also means that the retrieval of data is very fast and can far exceed the speed of a SQL database. Why is this? Because we don’t need to access multiple tables or databases to retrieve the relevant record and all of the related fields from other tables. The other advantage of using a document store over a key-value store is that we can use elements or fields within the documents in our searches, rather than being limited to only using the keys. In other words, this would be like having a SQL database where the only way you can look up any record in any table is with the ID field. A key-value store is very similar, except the contents of the documents are completely opaque. Since we cannot see or query based on the content of the documents, it makes no difference whether the documents have an internal structure or if they are just binary blobs of data. Queries, as a result, are very highly optimized. However, it can also be very limiting since there is no way to do a relation of any kind. In this class, we will use document stores rather than key-value stores. In our experience, document stores are more common to find in enterprises today, while key-value stores are more purpose-built systems used in more of a niche role. 72",Book 1_2036060.pdf,73,"Here are the notes on the topic of NoSQL databases, specifically document stores and key-value stores:

**NoSQL Databases**
=====================

**Types of NoSQL Databases**
--------------------------------

* **Document Stores**
	+ Example: MongoDB
	+ Characteristics:
		- Documents can have any structure
		- Data is organized into **collections** (similar to tables in SQL databases)
		- Visibility into document contents is a strength
		- Fast data retrieval due to **embedded data** (no need to access multiple tables)
		- Can query using elements/fields within documents
* **Key-Value Stores**
	+ Example: CouchDB
	+ Characteristics:
		- Contents of documents are **opaque** (cannot be queried)
		- Documents can have internal structure or be **binary blobs**
		- Queries are highly optimized but limited in functionality
		- No relationships between documents can be queried

**Comparison of Document Stores and Key-Value Stores**
-----------------------------------------------------

* Document stores are more commonly used in enterprises
* Key-value stores are used in niche roles and are more purpose-built systems"
"MongoDB In our class, we will make use of the MongoDB database as an example of a document store. We have chosen to use Mongo with this class since it is both simple to use and is a relatively lightweight database solution. In a variety of our exercises throughout the course, we may want to temporarily store data into some kind of data store rather than a simple flat file. In these cases, we will often use Mongo as this temporary storage medium. While SQL databases could certainly be used as well, creating a SQL database requires more upfront work and can be more challenging. The structure of the entire database must be defined upfront. Using a document store, we can define the structure of elements that we care about and simply put elements that are less important into unstructured data fields for analysis at some future time. Additionally, SQL databases can be somewhat heavy in terms of system resources, especially if we are using a laptop or workstation for our data research. Of course, if you are interacting with your enterprise data store, you must use whichever language it exposes to you. These days, large enterprises usually use both traditional SQL databases and newer document stores; which storage solution is used is determined by the specific use case of the application. However, our experience is that medium to small enterprises that have existed for more than 10 years will tend to use SQL servers only, while very new tech startups will tend toward document stores. When working with Mongo and most other document stores, the primary mechanism for defining objects is JSON. JSON, or JavaScript Object Notation, isn’t difficult to understand, but it can take some getting used to if you haven’t worked with it before. The more difficult aspect of working with JSON in document stores is that all of our queries are also structured as JSON objects that are passed to the document store. This can be quite challenging when you were first beginning to interact with this type of database, especially when you come from a SQL background. 73",Book 1_2036060.pdf,74,"Here are the advanced bullet-point notes summarizing the important parts of the passage about MongoDB:

**Why MongoDB?**
* MongoDB is a simple and lightweight database solution chosen for the class.
* It is used as a temporary storage medium for exercises that require data storage.

**Comparison to SQL Databases**
* SQL databases require more upfront work and can be more challenging.
* SQL databases require defining the structure of the entire database upfront.
* Document stores like MongoDB allow defining the structure of elements that matter and storing less important elements in unstructured data fields for future analysis.
* SQL databases can be heavy on system resources, especially on laptops or workstations.

**Industry Use Cases**
* Large enterprises use both traditional SQL databases and newer document stores, depending on the specific use case.
* Medium to small enterprises that have existed for over 10 years tend to use SQL servers only.
* Very new tech startups tend to use document stores.

**Working with MongoDB**
* **JSON (JavaScript Object Notation)** is the primary mechanism for defining objects in MongoDB.
* JSON can take time to get used to, especially for those without prior experience.
* Queries in MongoDB are structured as JSON objects passed to the document store, which can be challenging, especially for those with a SQL background."
"To make our lives easier, we will make use of the MongoEngine Python library. This leverages a lower-level library called PyMongo. In our lab, we will look at both MongoEngine and PyMongo. While our preference would be to use MongoEngine only, there are some tasks that we will need to do when exploring data that we will require either a Mongo command line or a PyMongo script. Since we are most interested in generalizing our work so that it is repeatable, we will take the time to learn a few elements of the PyMongo library to make this possible. 74",Book 1_2036060.pdf,75,"**MongoDB and Python Libraries**
==============================

### **Introduction**
* Utilizing **MongoEngine** Python library to interact with MongoDB
* **PyMongo** library used as a lower-level interface

### **Lab Objectives**
* Explore both **MongoEngine** and **PyMongo** libraries
* Focus on **MongoEngine**, but also learn **PyMongo** for specific tasks

### **Rationale**
* Need to use **PyMongo** for certain tasks, such as exploring data
* Learning **PyMongo** enables generalizing and repeating work

### **Key Takeaways**
* **MongoEngine** is the preferred library for interacting with MongoDB
* **PyMongo** is used for specific tasks and to ensure repeatability of work"
